Date	Monthly beer production in Australia			
1956-01-01	93			
1956-02-01	96			
1956-03-01	95			
1956-04-01	77			
1956-05-01	71			
1956-06-01	65			
1956-07-01	70			
1956-08-01	77			
1956-09-01	80			
1956-10-01	101			
1956-11-01	101			
1956-12-01	107			
1957-01-01	96			
1957-02-01	83			
1957-03-01	83			
1957-04-01	80			
1957-05-01	80			
1957-06-01	68			
1957-07-01	76			
1957-08-01	71			
1957-09-01	89			
1957-10-01	101			
1957-11-01	105			
1957-12-01	114			
1958-01-01	96			
1958-02-01	84			
1958-03-01	91			
1958-04-01	82			
1958-05-01	81			
1958-06-01	70			
1958-07-01	75			
1958-08-01	76			
1958-09-01	86			
1958-10-01	99			
1958-11-01	101			
1958-12-01	114			
1959-01-01	90			
1959-02-01	84			
1959-03-01	87			
1959-04-01	86			
1959-05-01	72			
1959-06-01	69			
1959-07-01	78			
1959-08-01	78			
1959-09-01	94			
1959-10-01	98			
1959-11-01	100			
1959-12-01	116			
1960-01-01	97			
1960-02-01	93			
1960-03-01	96			
1960-04-01	81			
1960-05-01	76			
1960-06-01	70			
1960-07-01	74			
1960-08-01	93			
1960-09-01	94			
1960-10-01	94			
1960-11-01	109			
1960-12-01	109			
1961-01-01	105			
1961-02-01	93			
1961-03-01	97			
1961-04-01	81			
1961-05-01	79			
1961-06-01	72			
1961-07-01	79			
1961-08-01	87			
1961-09-01	91			
1961-10-01	110			
1961-11-01	116			
1961-12-01	113			
1962-01-01	100			
1962-02-01	85			
1962-03-01	94			
1962-04-01	87			
1962-05-01	90			
1962-06-01	72			
1962-07-01	85			
1962-08-01	93			
1962-09-01	92			
1962-10-01	115			
1962-11-01	113			
1962-12-01	118			
1963-01-01	106			
1963-02-01	91			
1963-03-01	97			
1963-04-01	96			
1963-05-01	88			
1963-06-01	70			
1963-07-01	87			
1963-08-01	88			
1963-09-01	103			
1963-10-01	119			
1963-11-01	119			
1963-12-01	125			
1964-01-01	106			
1964-02-01	102			
1964-03-01	105			
1964-04-01	101			
1964-05-01	84			
1964-06-01	88			
1964-07-01	93			
1964-08-01	94			
1964-09-01	113			
1964-10-01	114			
1964-11-01	123			
1964-12-01	133			
1965-01-01	107			
1965-02-01	97			
1965-03-01	127			
1965-04-01	98			
1965-05-01	100			
1965-06-01	89			
1965-07-01	95			
1965-08-01	104			
1965-09-01	106			
1965-10-01	116			
1965-11-01	136			
1965-12-01	134			
1966-01-01	105			
1966-02-01	107			
1966-03-01	124			
1966-04-01	99			
1966-05-01	99			
1966-06-01	91			
1966-07-01	89			
1966-08-01	105			
1966-09-01	114			
1966-10-01	122			
1966-11-01	138			
1966-12-01	142			
1967-01-01	116			
1967-02-01	113			
1967-03-01	124			
1967-04-01	104			
1967-05-01	114			
1967-06-01	99			
1967-07-01	95			
1967-08-01	116			
1967-09-01	114			
1967-10-01	128			
1967-11-01	131			
1967-12-01	146			
1968-01-01	132			
1968-02-01	131			
1968-03-01	131			
1968-04-01	119			
1968-05-01	114			
1968-06-01	86			
1968-07-01	105			
1968-08-01	105			
1968-09-01	117			
1968-10-01	143			
1968-11-01	140			
1968-12-01	160			
1969-01-01	131			
1969-02-01	125			
1969-03-01	127			
1969-04-01	119			
1969-05-01	114			
1969-06-01	99			
1969-07-01	115			
1969-08-01	114			
1969-09-01	133			
1969-10-01	143			
1969-11-01	137			
1969-12-01	165			
1970-01-01	127			
1970-02-01	124			
1970-03-01	136			
1970-04-01	130			
1970-05-01	109			
1970-06-01	118			
1970-07-01	120			
1970-08-01	121			
1970-09-01	132			
1970-10-01	143			
1970-11-01	147			
1970-12-01	176			
1971-01-01	133			
1971-02-01	124			
1971-03-01	153			
1971-04-01	134			
1971-05-01	120			
1971-06-01	116			
1971-07-01	119			
1971-08-01	131			
1971-09-01	129			
1971-10-01	144			
1971-11-01	163			
1971-12-01	179			
1972-01-01	128			
1972-02-01	138			
1972-03-01	153			
1972-04-01	120			
1972-05-01	141			
1972-06-01	116			
1972-07-01	121			
1972-08-01	128			
1972-09-01	144			
1972-10-01	158			
1972-11-01	166			
1972-12-01	182			
1973-01-01	153			
1973-02-01	148			
1973-03-01	158			
1973-04-01	137			
1973-05-01	152			
1973-06-01	99			
1973-07-01	146			
1973-08-01	152			
1973-09-01	129			
1973-10-01	174			
1973-11-01	197			
1973-12-01	194			
1974-01-01	164			
1974-02-01	143			
1974-03-01	158			
1974-04-01	159			
1974-05-01	162			
1974-06-01	123			
1974-07-01	130			
